Bash,bash
C,c
C#,csharp
C++,cpp
CFML,cfml
Clojure,clojure
ClojureScript,clojurescript
CoffeeScript,coffeescript
Common Lisp,common-lisp
Crystal,crystal
D,d
Dart,dart
Delphi Pascal,delphi
Elixir,elixir
Elm,elm
Emacs Lisp,emacs-lisp
Erlang,erlang
F#,fsharp
Fortran,fortran
Go,go
Groovy,groovy
Haskell,haskell
Java,java
Javascript,javascript
Julia,julia
Kotlin,kotlin
LFE,lfe
Lua,lua
MIPS Assembly,mips
Nim,nim
Objective-C,objctive-c
OCaml, ocaml
Perl 5,perl5
Pharo,pharo-smalltalk
PHP,php
PL/SQL,plsql
Prolog,prolog
Python,python
PureScript,purescript
R,r
Racket,racket
Raku,raku
ReasonML,reasonml
Ruby,ruby
Rust,rust
Scala,scala
Scheme,scheme
Standard ML, sml
Swift,swift
Tcl,tcl
Typescript,typescript
VB.NET,vbnet
Vim script,vimscript
Wren,wren
x86-64 Assembly,x86-64-assembly
